cnn,st_name,st_type,cnntext,the_geom,data_as_of,data_loaded_at,Current Supervisor Districts,Analysis Neighborhoods,SF Find Neighborhoods,Current Police Districts
27131000,CASCADE,WALK,27131000,POINT (-122.470189959 37.753945372),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,14,44,10
24770000,CLAY,ST,24770000,POINT (-122.404796472 37.794453004),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,6,104,6
21313000,EUGENIA,AVE,21313000,POINT (-122.420051458 37.741464577),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
20885000,SOMERSET,ST,20885000,POINT (-122.40655319 37.724194227),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,25,91,2
23529000,MARIN,ST,23529000,POINT (-122.385490088 37.749121499),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,56,2
22463000,RHINE,ST,22463000,POINT (-122.4606129 37.709673494),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,66,10
20533000,TOPEKA,AVE,20533000,POINT (-122.396865377 37.732614179),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,87,2
27716000,33RD,AVE,27716000,POINT (-122.491997473 37.761039514),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,39,10
25016000,FREEMAN,CT,25016000,POINT (-122.409935886 37.79380169),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,16,6
26362000,TURK,ST,26362000,POINT (-122.44205331 37.779244031),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,18,13,7
23668000,19TH,ST,23668000,POINT (-122.396405136 37.761300391),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,54,2
26046000,STEINER,ST,26046000,POINT (-122.433407335 37.778422476),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,39,23,4
33107000,EVANS,AVE,33107000,POINT (-122.39404894 37.74616295),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,56,2
22665000,ASHTON,AVE,22665000,POINT (-122.462276365 37.724270607),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,67,10
24040000,18TH,ST,24040000,POINT (-122.412779774 37.761598494),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
33339000,MANSELL,ST,33339000,POINT (-122.424656182 37.717131895),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,19,73,9
22363000,BELLA VISTA,WAY,22363000,POINT (-122.448148341 37.738073189),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,72,9
23837000,BRYANT,ST,23837000,POINT (-122.396845822 37.780527161),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,32,1
25259000,TROY,ALY,25259000,POINT (-122.417665654 37.792337932),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,16,6
23992000,FLORIDA,ST,23992000,POINT (-122.410373354 37.755941773),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,20,53,3
33524000,RIDGE,LN,33524000,POINT (-122.448640772 37.717743097),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,28,66,10
24728000,BUSH,ST,24728000,POINT (-122.404332923 37.790721935),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,8,19,6
22252000,MONTECITO,AVE,22252000,POINT (-122.455765804 37.729952047),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,71,9
33707000,UNNAMED 107,,33707000,POINT (-122.477572371 37.720869206),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,16,42,10
20102000,CORONADO,ST,20102000,POINT (-122.390205026 37.717497915),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,88,2
27357000,IRVING,ST,27357000,POINT (-122.472789705 37.763752331),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,14,109,10
25086000,TAYLOR,ST,25086000,POINT (-122.412154319 37.790124449),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,3,21,50,6
26532000,BUCHANAN,ST,26532000,POINT (-122.430355918 37.788368313),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,11,30,102,4
27557000,27TH,AVE,27557000,POINT (-122.486878047 37.77999354),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,29,8,8
23175000,23RD,AVE,23175000,POINT (-122.47960169 37.737266046),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,7,35,40,10
53046000,CHINOOK,CT,53046000,POINT (-122.373719321 37.824614896),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,37,36,1
22156000,MONTEREY,BLVD,22156000,POINT (-122.444302172 37.731604817),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,8,41,95,9
21907000,30TH,ST,21907000,POINT (-122.428911417 37.741952911),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,59,9
23819000,05TH,ST,23819000,POINT (-122.396261347 37.774578067),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,4,34,1
26484000,TURK,BLVD,26484000,POINT (-122.454331407 37.777712789),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,4,18,12,7
20454000,FITZGERALD,AVE,20454000,POINT (-122.393171958 37.722034717),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,88,2
21714000,EDINBURGH,ST,21714000,POINT (-122.434354499 37.718125205),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,90,9
51852000,GALVEZ,AVE,51852000,POINT (-122.376490035 37.734302619),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,1,76,2
25655000,23RD,ST,25655000,POINT (-122.429807777 37.753158475),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,22,52,3
21065000,BRONTE,ST,21065000,POINT (-122.410114722 37.739755136),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,83,9
23737000,SOUTHERN HEIGHTS,AVE,23737000,POINT (-122.399921953 37.757519658),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,9,26,54,2
21934000,CHENERY,ST,21934000,POINT (-122.432416568 37.734551365),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,10,96,9
33357000,BRUNSWICK,ST,33357000,POINT (-122.438562927 37.711887506),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,1,7,58,9
26661000,WEBSTER,ST,26661000,POINT (-122.433657903 37.796366643),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,13,15,4
21118000,MONTCALM,ST,21118000,POINT (-122.406092538 37.747009832),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,2,2,60,9
50086000,I-80 TO HWY 101,RAMP,50086000,POINT (-122.405804735 37.770335135),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,10,34,33,1
25841000,HIDALGO,TER,25841000,POINT (-122.426615945 37.76706973),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,5,37,3
51276000,KEYES,AVE,51276000,POINT (-122.455559909 37.801296896),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,6,27,3,
50689000,BIRD,ST,50689000,POINT (-122.422395521 37.762264441),2025/04/30 03:33:00 AM,2025/04/30 10:11:56 AM,5,20,37,3
